geneName,log2FoldChange
ytcI,-0.885378581
sacC,-0.885311985
tsaE,-0.88510181
mtnU,-0.884762304
ppaX,-0.879717344
proB,-0.879193516
yitL,-0.878902936
yeaD,-0.877327293
yvaD,-0.875969246
yflP,-0.875451294
hemY,-0.874513213
ylbG,-0.873350841
aroF,-0.87275514
ylaC,-0.870974207
yjcF,-0.870023621
ymfH,-0.868161497
BS3610_RS18875,-0.868079266
yfkT,-0.866444119
yfjB,-0.86580645
gudP,-0.865707282
rpe,-0.864042428
trmK,-0.862376203
yvfH,-0.862040833
yhaO,-0.860985322
yugH,-0.859180899
ysfE,-0.858824594
hisS,-0.858591643
fni,-0.856552505
minD,-0.856184955
htpG,-0.856041085
etfA,-0.855151759
parC,-0.854908567
thrS,-0.854876624
yuiH,-0.853928031
hemH,-0.85358242
pssA,-0.853503897
tpiA,-0.851690802
gmuG,-0.851384555
bipA,-0.849704015
yoaA,-0.848781296
nupC,-0.848536848
yoqE,-0.847634121
rluD,-0.84663986
glcR,-0.846270646
degS,-0.84523548
ltaSC,-0.844130912
yaaB,-0.844113286
htrB,-0.840014378
yvdD,-0.839574336
yqgM,-0.839349674
purR,-0.838102084
ylmE,-0.83750562
hag,-0.837326746
araA,-0.837296638
yhfP,-0.836132274
yvaQ,-0.836073453
ptkA,-0.835290552
ywjH,-0.834998914
rsbX,-0.834327162
ynbB,-0.834318901
yqfO,-0.834197558
treA,-0.832667262
yvgT,-0.832464919
recX,-0.832074119
yxkF,-0.831668504
yjcG,-0.831071857
yttB,-0.829708526
rsmI,-0.829079789
prmC,-0.82890912
yxjM,-0.825140065
mutM,-0.822116368
csbD,-0.82148219
acpS,-0.821190346
ycsD,-0.820948178
tatCY,-0.820718936
clpY,-0.819416543
dsdA,-0.818848746
lplJ,-0.817187161
ypcP,-0.815629705
cheR,-0.815581982
resE,-0.81359722
yeaC,-0.812393347
rodA,-0.812091785
msmE,-0.810634817
yfhK,-0.810157171
yvcJ,-0.809169917
ydeF,-0.809156063
ykhA,-0.80912121
yhaA,-0.808742858
ktrD,-0.808598555
ytzA,-0.808108885
ysgA,-0.806974925
senS,-0.806838832
prfA,-0.806536728
rsbQ,-0.804878873
ftsY,-0.803742343
yqkA,-0.803229978
ydaL,-0.802992035
xkdN,-0.802365394
citS,-0.802061707
xtmA,-0.800639884
ypoC,-0.799406189
yhfE,-0.797922317
sbcC,-0.796534252
yaaK,-0.796452621
yycI,-0.795155405
BS3610_RS20995,-0.795152296
ywiE,-0.794954564
rnhC,-0.79482521
yhbI,-0.793089531
thiO,-0.792176604
upp,-0.791069156
nrdI,-0.789985947
degA,-0.789571783
fabL,-0.789316438
yocS,-0.788999253
yybC,-0.785918568
licH,-0.785280145
parE,-0.783874575
aroH,-0.782328635
yfiR,-0.782038281
uxaC,-0.778923197
yvrD,-0.778203754
dnaI,-0.776834144
ywgB,-0.776249265
ezrA,-0.775111967
uppP,-0.775066752
ybfM,-0.77400047
yojF,-0.773151282
rpfA,-0.7716648
yjcO,-0.771443881
yeeI,-0.771062614
yulF,-0.770923408
tenA,-0.769893036
nrdR,-0.767842894
tuaG,-0.767618157
yvfT,-0.765259209
bglS,-0.7643224
dusB,-0.764064656
ycnC,-0.76396938
yusU,-0.76388733
bltD,-0.762749571
yesO,-0.762747027
ykuO,-0.762492255
relP,-0.761406809
ydaG,-0.759933956
pgl,-0.758205268
thiL,-0.757693162
cysL,-0.756867796
ybgG,-0.756299499
ysxB,-0.755179668
rpmA,-0.755160638
yneR,-0.754342003
hprT,-0.753492867
yotC,-0.75227527
gmuA,-0.752073998
yvrA,-0.752033917
trmB,-0.751502173
ymdB,-0.751227336
clpQ,-0.750590841
bkdB,-0.749329882
btr,-0.748813348
znuC,-0.748781381
yqbM,-0.747890872
BS3610_RS23330,-0.747364397
lysS,-0.747187432
csbX,-0.746297743
yclK,-0.746003752
bshC,-0.744345715
BS3610_RS16320,-0.744013399
treP,-0.743839034
folP,-0.743783693
ylaH,-0.743685519
yfnC,-0.743251025
gudB,-0.742935251
rnjA,-0.742722603
ykpA,-0.741528491
gatA,-0.740989747
yfkF,-0.739940838
phoR,-0.738524589
rbgA,-0.738472574
recR,-0.737071428
nagP,-0.736782957
ytsJ,-0.736716392
ylxX,-0.736297596
ylqH,-0.736011751
yisV,-0.73456881
fliE,-0.734361241
ylqB,-0.734328256
prs,-0.732259107
xkzB,-0.731478462
flgM,-0.729213337
yosK,-0.728301014
dnaC,-0.727947193
lysC,-0.727779281
ytrP,-0.727513711
rocR,-0.726780654
ybfQ,-0.726587729
recJ,-0.725280886
nasF,-0.724699075
scpA,-0.724244624
wprA,-0.723569714
ycnK,-0.722304377
ftsZ,-0.721255936
ahrC,-0.720542381
trmD,-0.720490773
hprK,-0.72006908
xkdO,-0.719450187
ymfF,-0.718698052
yclJ,-0.718437278
yflA,-0.717914377
ispF,-0.71761613
yxiC,-0.716547805
yutI,-0.716064652
ypzC,-0.714450779
ypgQ,-0.714250698
yvbH,-0.713361318
glnL,-0.712999406
ykwC,-0.712987771
yvdC,-0.712613003
rhgH,-0.710761949
yfiZ,-0.709264364
ponA,-0.709134829
yddC,-0.70846259
rhgX,-0.708348736
yuxL,-0.707431282
rsbU,-0.706186363
yeeF,-0.70611901
ytjA,-0.706028621
odhA,-0.70538402
yvbK,-0.705380558
rplM,-0.703877311
walK,-0.703545651
ctc,-0.70237358
yfhC,-0.70183286
BS3610_RS18670,-0.701809184
ycdB,-0.701590721
lytF,-0.698357284
yxaH,-0.698258124
yojO,-0.697122883
coaBC,-0.696988317
treR,-0.69463221
topA,-0.693262577
ydcG,-0.693126499
ywdJ,-0.69274135
tagB,-0.692504538
yraI,-0.690808311
yvbF,-0.69069508
ytxD,-0.689618704
licR,-0.687233458
clpC,-0.686397332
ytnP,-0.685111197
pbpC,-0.684765355
rbsR,-0.684140893
BS3610_RS23915,-0.683317968
tmk,-0.68176607
ylmH,-0.681456388
yerA,-0.681181901
ylmG,-0.680782879
ywoG,-0.679359771
bsuMA,-0.678592755
ytjP,-0.678579424
yfhL,-0.678549085
yflH,-0.677413749
resD,-0.677354143
jag,-0.676307482
ypbE,-0.675158876
sepF,-0.675014951
xkdK,-0.674990523
etfB,-0.673688331
recD,-0.672569915
rlmB,-0.672489839
yugU,-0.672129437
ycbK,-0.671271078
pit,-0.671248123
yfiV,-0.670988571
yebG,-0.670327871
pbpH,-0.670027877
aroC,-0.669812755
lytB,-0.669215011
ywqC,-0.668849091
gcvT,-0.668564163
xkdB,-0.66842164
BS3610_RS23375,-0.666867827
alrA,-0.66462196
ydhC,-0.663728512
yyaK,-0.663688638
ypjP,-0.663363849
ykkD,-0.662436973
dacC,-0.662032462
yvcD,-0.661552176
ypiP,-0.66046192
ywsB,-0.660375627
gtaB,-0.659698356
argI,-0.65916748
ganA,-0.658903052
tkt,-0.658382086
ydzK,-0.658096779
nupG,-0.657101193
yneI,-0.656883125
qodI,-0.655822403
yqjL,-0.655816411
deoC,-0.655564058
holB,-0.65492609
noc,-0.654066182
yqeG,-0.65359258
moaB,-0.653277372
pncB,-0.652535397
yfmL,-0.651965216
yrdP,-0.651964484
ytkP,-0.651043947
yoqN,-0.650548033
rpoC,-0.649875677
yjhA,-0.64784368
yfmC,-0.64770184
mnaA,-0.647278365
ctaD,-0.646913929
mdr,-0.645033141
ctpA,-0.644859711
araP,-0.644404048
fabG,-0.644015443
yfiS,-0.642302157
ytrC,-0.641795587
nadE,-0.641765169
yjgA,-0.641688247
yfkI,-0.640117076
ykbA,-0.63927212
pabC,-0.639249895
pepT,-0.639126719
penP,-0.638791375
folEA,-0.636942694
bacG,-0.636877177
ureC,-0.636336108
ytrD,-0.634399401
cshB,-0.634263556
pdhC,-0.634152949
bcd,-0.633901321
BS3610_RS09150,-0.633882861
xkdP,-0.633339368
xhlA,-0.632871691
ytxB,-0.632845606
ywjI,-0.631299777
ruvB,-0.630998805
yybE,-0.630336834
panB,-0.629381238
ytpB,-0.62919468
engA,-0.627610162
yydK,-0.627200824
ydeD,-0.627020198
niaR,-0.626413093
mapB,-0.62592765
ywdD,-0.625032008
lytR,-0.624875501
yhfI,-0.62419578
ytpP,-0.624183589
lgt,-0.623763505
gmk,-0.622217568
BS3610_RS13215,-0.621494253
lutA,-0.621437121
ywzA,-0.621279651
maeN,-0.619999351
ytdP,-0.619534016
yitH,-0.619469201
yfkD,-0.619235636
tuaD,-0.618668792
med,-0.617135066
yxjL,-0.615617027
nupN,-0.615380794
gltB,-0.61485809
tlpA,-0.614656811
yhcR,-0.61340144
murAB,-0.613007837
ytpA,-0.611809152
ksgA,-0.611645131
gmuD,-0.611235047
ganQ,-0.610142704
nucA,-0.610132874
ygaF,-0.609893288
yabD,-0.609196696
nsrR,-0.608780812
yqfG,-0.607261041
yjzG,-0.606045559
pgsA,-0.605810796
yxcD,-0.60551611
yuzD,-0.605269914
levG,-0.604043481
BS3610_RS23455,-0.603285583
yvcT,-0.603240332
serC,-0.602882713
defA,-0.602833794
dynA,-0.602590798
ywnB,-0.601288937
yufK,-0.597400022
yqjE,-0.596350167
yjlB,-0.596133842
yjqB,-0.595621101
yisX,-0.594948569
ytaP,-0.594884946
rex,-0.594767945
purT,-0.592679734
hom,-0.592555068
mutS,-0.59216131
ynfC,-0.591389394
comFC,-0.588752159
yqeM,-0.588306701
yabJ,-0.588058453
cyeB,-0.587635319
acuA,-0.587093846
gyrA,-0.585811007
yhdR,-0.585687855
serA,-0.585158894
ypvA,-0.584609098
yxcE,-0.584608414
yozG,-0.584583296
yvzE,-0.584449387
cdnD,-0.584025475
polC,-0.583854983
yobQ,-0.583345029
rarA,-0.583286838
yetN,-0.583088023
rhgT,-0.583004673
ogt,-0.582538428
ylzA,-0.581885696
ydzE,-0.581551543
msrB,-0.579743721
ald,-0.579350717
yxbF,-0.574844564
ywdH,-0.574699102
pabA,-0.573981994
yqxL,-0.573653405
mobA,-0.573107535
yhfK,-0.571642122
manP,-0.571392544
ykrA,-0.570978685
yqgQ,-0.570292585
